WatchName,WatchType,Price,CreationYear,MovementID,CompanyName
Chicago,Smart,3375.000000000000,1904.000000000000,8500,IWC
Anatomic,Dress,9625.000000000000,1883.000000000000,Caliber 5000,Tag Heuer
Therein,Smart,4170.000000000000,1962.000000000000,Caliber 5000,Omega
Mustachio,Dress,3690.000000000000,1967.000000000000,JLC 965,Maurice Lacroix
Zeroes,Smart,8435.000000000000,1994.000000000000,Calibre 5,Casio
Kingsbury,Dress,40.000000000000,1905.000000000000,El Primero 400B,Apple
Hamster,Smart,4970.000000000000,1993.000000000000,Calibre 5,Tissot
Launch,Diving,450.000000000000,1957.000000000000,Quartz,Casio
Torus,Sport,9070.000000000000,1960.000000000000,Quartz,Maurice Lacroix
Crowbar,Automatic,2240.000000000000,1923.000000000000,Caliber 2121,Apple
Soupy,Diving,7175.000000000000,1895.000000000000,Caliber 2121,Jaeger-LeCoultre
Treatise,Automatic,9555.000000000000,1934.000000000000,ETA-2824,Tag Heuer
Cia,Smart,9375.000000000000,1984.000000000000,8500,Maurice Lacroix
Just,Digital,585.000000000000,1883.000000000000,ML 159,Zenith
Zip,Dress,4060.000000000000,1916.000000000000,ML 159,Maurice Lacroix
Pacific,Automatic,4090.000000000000,1869.000000000000,ETA-2824,Jaeger-LeCoultre
Residuary,Diving,9265.000000000000,1984.000000000000,JLC 965,Zenith
Windup,Sport,6475.000000000000,1870.000000000000,Quartz,Tissot
Hazard,Digital,1245.000000000000,1911.000000000000,ETA-2824,Audemars Piguet
Sue,Diving,6295.000000000000,1872.000000000000,JLC 965,Tag Heuer
Dignify,Automatic,5635.000000000000,1990.000000000000,ML 159,IWC
Barth,Smart,6200.000000000000,1868.000000000000,Valjoux 7750,Tag Heuer
Encapsulate,Sport,6215.000000000000,2010.000000000000,Quartz,Audemars Piguet
Momentum,Sport,895.000000000000,1898.000000000000,Quartz,Maurice Lacroix
Lament,Diving,9160.000000000000,1983.000000000000,Calibre 5,Apple
Pyrimidine,Digital,9870.000000000000,1962.000000000000,JLC 965,Omega
Tombstone,Diving,9040.000000000000,1942.000000000000,Calibre 5,Jaeger-LeCoultre
Orwell,Dress,6205.000000000000,1883.000000000000,Calibre 5,Maurice Lacroix
Dissociate,Pilot,6255.000000000000,1951.000000000000,Caliber 5000,Casio
Dumbly,Smart,1835.000000000000,1952.000000000000,Quartz,IWC
Archdiocese,Diving,340.000000000000,1940.000000000000,Caliber 2121,Maurice Lacroix
Intoxicant,Digital,3595.000000000000,1977.000000000000,ML 159,Tag Heuer
Jamaica,Sport,3790.000000000000,1888.000000000000,El Primero 400B,Apple
Eratosthenes,Pilot,2605.000000000000,1860.000000000000,El Primero 400B,IWC
Sanskrit,Dress,220.000000000000,1885.000000000000,Caliber 5000,Omega
Bovine,Sport,9375.000000000000,1979.000000000000,Calibre 5,Jaeger-LeCoultre
Midpoint,Pilot,8980.000000000000,1894.000000000000,El Primero 400B,Casio
Altimeter,Diving,5930.000000000000,1877.000000000000,JLC 965,Casio
Mimeograph,Automatic,4200.000000000000,1886.000000000000,JLC 965,Tissot
Acquittal,Pilot,1245.000000000000,1989.000000000000,8500,Maurice Lacroix
Galvanometer,Diving,5410.000000000000,2012.000000000000,El Primero 400B,Zenith
Alexei,Dress,605.000000000000,1904.000000000000,Quartz,Apple
Amber,Dress,575.000000000000,2004.000000000000,ETA-2824,Tissot
Krill,Digital,115.000000000000,1952.000000000000,Calibre 5,Apple
Postmodern,Pilot,5185.000000000000,1927.000000000000,8500,Zenith
Showdown,Sport,295.000000000000,1951.000000000000,ML 159,Audemars Piguet
Metal,Dress,830.000000000000,1998.000000000000,Caliber 5000,Omega
Steppe,Pilot,65.000000000000,1860.000000000000,ML 159,Tissot
Sorrel,Pilot,9995.000000000000,1925.000000000000,Calibre 5,Jaeger-LeCoultre
Prescriptive,Pilot,8675.000000000000,1970.000000000000,Valjoux 7750,Tissot
Poodle,Pilot,1075.000000000000,1958.000000000000,ML 159,IWC
Briefcase,Digital,2050.000000000000,1898.000000000000,Valjoux 7750,Omega
Dactyl,Dress,8485.000000000000,1923.000000000000,ETA-2824,Apple
Barrier,Digital,3175.000000000000,1957.000000000000,Caliber 2121,Casio
Inspect,Pilot,540.000000000000,1932.000000000000,Valjoux 7750,Apple
Flashy,Automatic,2995.000000000000,2015.000000000000,El Primero 400B,Zenith
Booby,Sport,1385.000000000000,1947.000000000000,Quartz,Maurice Lacroix
Quarrelsome,Digital,8605.000000000000,2017.000000000000,8500,Omega
Hereford,Dress,375.000000000000,1876.000000000000,8500,Audemars Piguet
Taurus,Automatic,4075.000000000000,1928.000000000000,ML 159,Jaeger-LeCoultre
Caesar,Pilot,2155.000000000000,1963.000000000000,ETA-2824,Jaeger-LeCoultre
Dwindle,Diving,4400.000000000000,1919.000000000000,JLC 965,Omega
Occultate,Dress,8365.000000000000,1914.000000000000,Caliber 5000,Casio
Serviceman,Smart,5870.000000000000,1872.000000000000,8500,Apple
Why,Smart,6715.000000000000,2015.000000000000,El Primero 400B,Tissot
Charcuterie,Sport,6720.000000000000,1904.000000000000,El Primero 400B,Audemars Piguet
Landlocked,Smart,4980.000000000000,1872.000000000000,ML 159,IWC
Pater,Pilot,2460.000000000000,1976.000000000000,Calibre 5,Tissot
Cenozoic,Pilot,9950.000000000000,1939.000000000000,El Primero 400B,Jaeger-LeCoultre
Pellet,Pilot,5030.000000000000,2000.000000000000,Caliber 2121,IWC
Pseudonymous,Sport,7490.000000000000,1953.000000000000,Calibre 5,Omega
Freehand,Diving,4465.000000000000,2018.000000000000,ETA-2824,Tissot
Piggish,Sport,5625.000000000000,1959.000000000000,8500,Casio
Hanover,Diving,5910.000000000000,1914.000000000000,El Primero 400B,Zenith
Shortsighted,Diving,5020.000000000000,1999.000000000000,ETA-2824,Jaeger-LeCoultre
Vernier,Digital,460.000000000000,1959.000000000000,Valjoux 7750,Jaeger-LeCoultre
Wisdom,Diving,6720.000000000000,1928.000000000000,8500,IWC
Far,Automatic,1255.000000000000,1874.000000000000,Quartz,Casio
Shaft,Smart,4310.000000000000,1982.000000000000,8500,Tag Heuer
Phantom,Smart,5285.000000000000,2002.000000000000,8500,Omega
Embolden,Sport,4950.000000000000,1885.000000000000,ML 159,Apple
Owlet,Dress,6415.000000000000,1891.000000000000,8500,Apple
Dungeon,Sport,1025.000000000000,1854.000000000000,JLC 965,IWC
Ell,Automatic,100.000000000000,1927.000000000000,Calibre 5,Zenith
Past,Diving,6815.000000000000,1985.000000000000,Calibre 5,Maurice Lacroix
Nighttime,Dress,5105.000000000000,1955.000000000000,ETA-2824,Audemars Piguet
Psychic,Smart,5895.000000000000,2003.000000000000,El Primero 400B,Zenith
Fulsome,Pilot,6480.000000000000,1986.000000000000,Valjoux 7750,Audemars Piguet
Ailanthus,Digital,4425.000000000000,1876.000000000000,JLC 965,Omega
Sat,Automatic,1845.000000000000,1975.000000000000,8500,Omega
Emphasis,Dress,2785.000000000000,1870.000000000000,JLC 965,Audemars Piguet
Increasable,Sport,5275.000000000000,1914.000000000000,ETA-2824,Audemars Piguet
Decontrolled,Digital,6405.000000000000,1948.000000000000,Valjoux 7750,Casio
Gauss,Diving,7545.000000000000,1872.000000000000,Valjoux 7750,IWC
Chuck,Sport,4910.000000000000,1858.000000000000,El Primero 400B,Zenith
Envelop,Pilot,440.000000000000,1925.000000000000,Valjoux 7750,Apple
Spacecraft,Digital,5580.000000000000,1918.000000000000,Caliber 5000,Jaeger-LeCoultre
Russo,Dress,1585.000000000000,2007.000000000000,Valjoux 7750,Apple
Markov,Sport,7385.000000000000,1987.000000000000,JLC 965,Tag Heuer
Prosthetic,Sport,7585.000000000000,1915.000000000000,Quartz,Jaeger-LeCoultre
Crucifix,Digital,6295.000000000000,1966.000000000000,JLC 965,Zenith
Initial,Smart,5965.000000000000,1981.000000000000,ML 159,Omega
Rousseau,Sport,3880.000000000000,2012.000000000000,8500,IWC
Sickle,Smart,9410.000000000000,1951.000000000000,Quartz,Apple
Hal,Automatic,5020.000000000000,2006.000000000000,Calibre 5,IWC
Litton,Pilot,5945.000000000000,1888.000000000000,El Primero 400B,Audemars Piguet
Docile,Smart,1660.000000000000,1967.000000000000,Quartz,Omega
Timeshare,Smart,4725.000000000000,1890.000000000000,Caliber 2121,Tissot
Savvy,Diving,7390.000000000000,1929.000000000000,JLC 965,Omega
Crypt,Smart,5475.000000000000,1992.000000000000,Quartz,Maurice Lacroix
Simla,Automatic,4505.000000000000,1964.000000000000,Calibre 5,Tag Heuer
Reindeer,Dress,8630.000000000000,1885.000000000000,Calibre 5,Maurice Lacroix
Gustavus,Automatic,1600.000000000000,1910.000000000000,Caliber 5000,Casio
Baptismal,Dress,8615.000000000000,1852.000000000000,ETA-2824,Jaeger-LeCoultre
Offhand,Diving,2645.000000000000,2004.000000000000,El Primero 400B,IWC
Mallet,Diving,7950.000000000000,1880.000000000000,JLC 965,Tag Heuer
Sims,Automatic,230.000000000000,1901.000000000000,El Primero 400B,Casio
Carcinogen,Dress,9720.000000000000,2004.000000000000,ML 159,Zenith
Poise,Diving,7355.000000000000,1901.000000000000,Quartz,Casio
Degenerate,Smart,3035.000000000000,1946.000000000000,ML 159,IWC
Whelk,Smart,2230.000000000000,1971.000000000000,Caliber 2121,Omega
Teach,Digital,1895.000000000000,1885.000000000000,Caliber 5000,Apple
Apex,Automatic,1710.000000000000,1901.000000000000,Quartz,Audemars Piguet
Woodruff,Sport,305.000000000000,1970.000000000000,ETA-2824,Casio
Hitchcock,Sport,2415.000000000000,1965.000000000000,Valjoux 7750,Jaeger-LeCoultre
Butyric,Dress,4605.000000000000,1986.000000000000,Caliber 2121,IWC
Mckeon,Smart,9740.000000000000,1882.000000000000,El Primero 400B,Maurice Lacroix
Agreeable,Smart,6770.000000000000,1931.000000000000,El Primero 400B,Tissot
Diagrammed,Sport,3390.000000000000,1890.000000000000,JLC 965,Zenith
Toilet,Diving,1975.000000000000,1965.000000000000,JLC 965,Audemars Piguet
Ambulatory,Smart,8095.000000000000,1904.000000000000,Quartz,Omega
Astrology,Automatic,3725.000000000000,1959.000000000000,ETA-2824,Casio
Concessionaire,Automatic,920.000000000000,1870.000000000000,8500,Apple
Burdensome,Dress,4935.000000000000,1949.000000000000,Calibre 5,Maurice Lacroix
Ma,Pilot,345.000000000000,1870.000000000000,Caliber 5000,Tag Heuer
Machiavelli,Pilot,9415.000000000000,2018.000000000000,El Primero 400B,Tag Heuer
Jolly,Smart,8525.000000000000,1912.000000000000,Quartz,Jaeger-LeCoultre
Omit,Digital,9255.000000000000,1955.000000000000,JLC 965,Jaeger-LeCoultre
Foursquare,Dress,2930.000000000000,2000.000000000000,Quartz,Tissot
Enunciable,Smart,6200.000000000000,1918.000000000000,Caliber 2121,Casio
Vase,Sport,7555.000000000000,1859.000000000000,ML 159,Audemars Piguet
Nitrous,Digital,9790.000000000000,1884.000000000000,Caliber 5000,IWC
Tipple,Dress,4515.000000000000,2017.000000000000,ETA-2824,Audemars Piguet
Fumigant,Automatic,6575.000000000000,1928.000000000000,Caliber 5000,IWC
Committeewoman,Smart,2135.000000000000,1956.000000000000,ML 159,IWC
Seem,Diving,5730.000000000000,1895.000000000000,JLC 965,Tissot
Goldsmith,Automatic,8385.000000000000,1942.000000000000,ML 159,Omega
Armchair,Automatic,6275.000000000000,1974.000000000000,JLC 965,Casio
Precess,Sport,8020.000000000000,1924.000000000000,ETA-2824,IWC
Ditch,Automatic,2145.000000000000,1862.000000000000,Caliber 5000,Casio
Polyploidy,Digital,8315.000000000000,1856.000000000000,ETA-2824,Jaeger-LeCoultre
Tether,Dress,6245.000000000000,1946.000000000000,Caliber 2121,Audemars Piguet
Screwball,Sport,7740.000000000000,1878.000000000000,Caliber 5000,Apple
Lurid,Smart,7485.000000000000,1890.000000000000,Calibre 5,Omega
Bernhard,Digital,2255.000000000000,1939.000000000000,JLC 965,Omega
Indices,Pilot,820.000000000000,1974.000000000000,JLC 965,Audemars Piguet
Them,Sport,6235.000000000000,1978.000000000000,Valjoux 7750,Audemars Piguet
Ribosome,Automatic,8150.000000000000,1889.000000000000,Caliber 2121,Jaeger-LeCoultre
Acculturate,Smart,2885.000000000000,1983.000000000000,JLC 965,Jaeger-LeCoultre
Henequen,Pilot,6575.000000000000,1894.000000000000,8500,Tag Heuer
Network,Sport,160.000000000000,1888.000000000000,ETA-2824,Tag Heuer
Bulbous,Smart,9400.000000000000,1937.000000000000,Valjoux 7750,Audemars Piguet
Inseparable,Automatic,2055.000000000000,2001.000000000000,Valjoux 7750,Omega
Shabby,Pilot,6560.000000000000,1970.000000000000,Calibre 5,Zenith
Escrow,Sport,5205.000000000000,1852.000000000000,Caliber 5000,Tag Heuer
Cushman,Sport,3905.000000000000,1961.000000000000,ETA-2824,Omega
Instar,Automatic,6610.000000000000,1911.000000000000,JLC 965,Tag Heuer
Bolt,Diving,755.000000000000,1966.000000000000,JLC 965,Apple
Crutch,Automatic,3990.000000000000,1923.000000000000,Calibre 5,Casio
Blank,Pilot,9640.000000000000,1907.000000000000,ML 159,Maurice Lacroix
Hairspring,Dress,7700.000000000000,1866.000000000000,JLC 965,Audemars Piguet
Leitmotif,Sport,2875.000000000000,1870.000000000000,8500,Tissot
Depth,Automatic,9230.000000000000,1874.000000000000,8500,Maurice Lacroix
Heard,Dress,9240.000000000000,1964.000000000000,ETA-2824,Apple
Auntie,Smart,7265.000000000000,1898.000000000000,ML 159,Tissot
Rush,Diving,8500.000000000000,1974.000000000000,Quartz,Tissot
Conley,Sport,2325.000000000000,1992.000000000000,El Primero 400B,Zenith
Rumpus,Digital,5670.000000000000,1924.000000000000,Calibre 5,Apple
Daly,Diving,6620.000000000000,2007.000000000000,El Primero 400B,Audemars Piguet
Marcel,Sport,8455.000000000000,1851.000000000000,ETA-2824,Tag Heuer
Walden,Pilot,1560.000000000000,2018.000000000000,Quartz,IWC
Coprinus,Smart,7560.000000000000,1882.000000000000,Caliber 2121,Maurice Lacroix
Populism,Sport,2270.000000000000,1882.000000000000,JLC 965,Maurice Lacroix
Xenophobia,Sport,7445.000000000000,1876.000000000000,Caliber 2121,Tissot
Museum,Pilot,6825.000000000000,1969.000000000000,Caliber 5000,Casio
Dixieland,Dress,6905.000000000000,1993.000000000000,Calibre 5,IWC
Invent,Dress,9675.000000000000,1890.000000000000,8500,Omega
Diplomatic,Smart,125.000000000000,1886.000000000000,Caliber 5000,Jaeger-LeCoultre
Bark,Diving,4535.000000000000,1995.000000000000,Quartz,Zenith
Idiom,Diving,8045.000000000000,1905.000000000000,ML 159,Tag Heuer
Mcneil,Smart,8705.000000000000,1940.000000000000,Quartz,Audemars Piguet
Prey,Diving,8145.000000000000,1885.000000000000,Caliber 5000,Tag Heuer
Accusatory,Pilot,3025.000000000000,2004.000000000000,ML 159,Audemars Piguet
Pyre,Smart,1725.000000000000,1876.000000000000,ML 159,Maurice Lacroix
Lignite,Dress,5905.000000000000,1935.000000000000,Caliber 2121,Casio
Portal,Pilot,9310.000000000000,2010.000000000000,Caliber 2121,Tag Heuer
Althea,Digital,8770.000000000000,1948.000000000000,Valjoux 7750,IWC
Extrinsic,Sport,2490.000000000000,2012.000000000000,8500,Casio
Neolithic,Smart,4070.000000000000,1886.000000000000,ML 159,Jaeger-LeCoultre
Syria,Sport,8730.000000000000,1911.000000000000,El Primero 400B,Jaeger-LeCoultre
Quaff,Digital,9710.000000000000,1867.000000000000,Valjoux 7750,Audemars Piguet
Forceful,Dress,725.000000000000,2008.000000000000,ML 159,Audemars Piguet
Art,Automatic,3345.000000000000,1993.000000000000,Caliber 5000,Omega
Darwinian,Digital,9765.000000000000,1932.000000000000,ETA-2824,Tag Heuer
Chromatic,Digital,9285.000000000000,1908.000000000000,Quartz,Audemars Piguet
Talus,Dress,7785.000000000000,1941.000000000000,El Primero 400B,Zenith
Length,Digital,8300.000000000000,1930.000000000000,ETA-2824,IWC
Druid,Dress,4010.000000000000,1865.000000000000,Valjoux 7750,Casio
Gingham,Smart,8390.000000000000,2018.000000000000,Caliber 2121,IWC
Symbiotic,Dress,5605.000000000000,1951.000000000000,8500,Omega
Patrick,Automatic,6260.000000000000,1866.000000000000,Valjoux 7750,IWC
Avid,Diving,7610.000000000000,1996.000000000000,Quartz,Casio
Forborne,Sport,4985.000000000000,1948.000000000000,Quartz,Tissot
Improper,Dress,1800.000000000000,1909.000000000000,JLC 965,IWC
Elgin,Dress,6980.000000000000,1997.000000000000,ML 159,Maurice Lacroix
Tenth,Digital,8955.000000000000,1994.000000000000,JLC 965,Omega
Felicity,Automatic,6475.000000000000,1928.000000000000,Caliber 5000,Maurice Lacroix
Federate,Digital,955.000000000000,1891.000000000000,El Primero 400B,IWC
Thayer,Digital,535.000000000000,1995.000000000000,Valjoux 7750,Audemars Piguet
Bellatrix,Diving,550.000000000000,1984.000000000000,Caliber 2121,Apple
Gwen,Sport,8715.000000000000,1879.000000000000,ML 159,Omega
Elaborate,Diving,2630.000000000000,1997.000000000000,Caliber 5000,Casio
Hutchins,Diving,9195.000000000000,1901.000000000000,ETA-2824,IWC
Bellamy,Sport,880.000000000000,1889.000000000000,El Primero 400B,Tissot
Lanthanide,Smart,5145.000000000000,1892.000000000000,Caliber 5000,Casio
Roundoff,Automatic,2605.000000000000,1866.000000000000,Quartz,Tag Heuer
Intone,Digital,4060.000000000000,1937.000000000000,El Primero 400B,Zenith
Gantry,Pilot,7400.000000000000,1921.000000000000,ML 159,IWC
Lieutenant,Diving,9690.000000000000,1928.000000000000,8500,Apple
Portulaca,Sport,5745.000000000000,1943.000000000000,El Primero 400B,Tag Heuer
Tale,Dress,735.000000000000,1891.000000000000,8500,Casio
Bern,Diving,490.000000000000,1972.000000000000,Valjoux 7750,Casio
Forget,Pilot,560.000000000000,1905.000000000000,Calibre 5,Casio
Calcium,Sport,3380.000000000000,1925.000000000000,Quartz,Apple
Mcmahon,Dress,8485.000000000000,1988.000000000000,Caliber 2121,Tag Heuer
Everglade,Dress,3735.000000000000,1879.000000000000,Valjoux 7750,Omega
Adequate,Diving,6495.000000000000,1949.000000000000,Valjoux 7750,Maurice Lacroix
Haploidy,Pilot,7780.000000000000,1968.000000000000,Caliber 5000,Tag Heuer
Chock,Diving,6895.000000000000,1891.000000000000,Valjoux 7750,Casio
Heart,Smart,2910.000000000000,1997.000000000000,ML 159,Zenith
Antilles,Smart,6750.000000000000,1937.000000000000,ML 159,Tag Heuer
Blackwell,Dress,6285.000000000000,1882.000000000000,El Primero 400B,Zenith
Sunglasses,Diving,7770.000000000000,1885.000000000000,JLC 965,Casio
Ouch,Diving,730.000000000000,1920.000000000000,El Primero 400B,IWC
Talmudic,Digital,1190.000000000000,2005.000000000000,Calibre 5,Audemars Piguet
Collector,Dress,695.000000000000,1938.000000000000,El Primero 400B,Tag Heuer
Sane,Diving,3390.000000000000,1997.000000000000,Quartz,Tag Heuer
Meringue,Smart,8815.000000000000,1962.000000000000,Caliber 5000,Apple
Novice,Automatic,9310.000000000000,1933.000000000000,Caliber 5000,Tag Heuer
Herbivorous,Sport,9305.000000000000,1929.000000000000,ETA-2824,Jaeger-LeCoultre
Shoo,Diving,3230.000000000000,2006.000000000000,JLC 965,Maurice Lacroix
Proven,Diving,1590.000000000000,1998.000000000000,Caliber 2121,Apple
Blade,Digital,6080.000000000000,1968.000000000000,JLC 965,Jaeger-LeCoultre
Deserve,Digital,5970.000000000000,2006.000000000000,Quartz,Audemars Piguet
Cyprian,Automatic,8080.000000000000,1984.000000000000,Caliber 2121,Jaeger-LeCoultre
Coddle,Smart,5890.000000000000,2007.000000000000,Quartz,Casio
Facetious,Pilot,5310.000000000000,1953.000000000000,Caliber 2121,Jaeger-LeCoultre
Sumac,Smart,8620.000000000000,1878.000000000000,JLC 965,IWC
Truce,Automatic,3815.000000000000,1998.000000000000,8500,Maurice Lacroix
Dominican,Smart,1765.000000000000,2007.000000000000,ETA-2824,Omega
Tower,Dress,4165.000000000000,1980.000000000000,8500,Tissot
Sylow,Diving,9365.000000000000,1916.000000000000,8500,Apple
Carey,Dress,4535.000000000000,1966.000000000000,ETA-2824,Apple
Swarthmore,Sport,6030.000000000000,1986.000000000000,Quartz,Zenith
Season,Automatic,6175.000000000000,1937.000000000000,Caliber 2121,Casio
Mcclure,Diving,4735.000000000000,1996.000000000000,JLC 965,Tag Heuer
Finance,Sport,9065.000000000000,1881.000000000000,Valjoux 7750,Omega
Irvine,Sport,8155.000000000000,1991.000000000000,ML 159,Omega
Agnes,Digital,3190.000000000000,1909.000000000000,El Primero 400B,Jaeger-LeCoultre
Handbook,Diving,5215.000000000000,1919.000000000000,ETA-2824,Maurice Lacroix
Assignee,Digital,2460.000000000000,1964.000000000000,JLC 965,Apple
Novae,Smart,1720.000000000000,2009.000000000000,ML 159,Apple
Eminent,Automatic,2570.000000000000,1960.000000000000,Caliber 2121,Casio
Centenary,Pilot,6050.000000000000,2007.000000000000,JLC 965,Apple
Blunt,Digital,1610.000000000000,1897.000000000000,Calibre 5,Tag Heuer
Teddy,Sport,6595.000000000000,1923.000000000000,Valjoux 7750,Omega
Earthenware,Digital,8485.000000000000,1862.000000000000,Valjoux 7750,IWC
Dimorphism,Digital,8755.000000000000,1962.000000000000,Caliber 5000,IWC
Lionel,Pilot,745.000000000000,1960.000000000000,Calibre 5,Tissot
Cartridge,Smart,4795.000000000000,1971.000000000000,Caliber 5000,Tag Heuer
Manumit,Sport,5920.000000000000,1900.000000000000,Caliber 5000,Audemars Piguet
Elena,Automatic,1585.000000000000,1867.000000000000,JLC 965,IWC
Dreadnought,Sport,1305.000000000000,1923.000000000000,JLC 965,Apple
Starve,Dress,5930.000000000000,2017.000000000000,Calibre 5,Omega
Portmanteau,Digital,5625.000000000000,2005.000000000000,JLC 965,Tissot
Professor,Digital,860.000000000000,1887.000000000000,Calibre 5,Apple
Flog,Digital,870.000000000000,1889.000000000000,Calibre 5,Tag Heuer
Claremont,Sport,3855.000000000000,1873.000000000000,El Primero 400B,Apple
Counterargument,Dress,6045.000000000000,1996.000000000000,8500,IWC
Help,Automatic,6660.000000000000,1867.000000000000,Caliber 2121,Omega
Actuarial,Pilot,8460.000000000000,1919.000000000000,El Primero 400B,Zenith
Great,Sport,6735.000000000000,1857.000000000000,Calibre 5,Tag Heuer
Knelt,Automatic,8340.000000000000,1974.000000000000,Quartz,Jaeger-LeCoultre
Swath,Diving,175.000000000000,1945.000000000000,JLC 965,Casio
Bolshoi,Smart,7230.000000000000,1961.000000000000,Caliber 5000,Audemars Piguet
Fantasia,Diving,2695.000000000000,2002.000000000000,Valjoux 7750,Omega
Papua,Digital,7485.000000000000,1857.000000000000,Quartz,Casio
Iodinate,Digital,9335.000000000000,2013.000000000000,ETA-2824,Omega
Escapee,Dress,6770.000000000000,1872.000000000000,Calibre 5,Apple
Base,Automatic,2615.000000000000,1970.000000000000,Caliber 2121,Casio
Polio,Automatic,9345.000000000000,1924.000000000000,8500,Tag Heuer
Vikram,Smart,985.000000000000,1974.000000000000,Calibre 5,Audemars Piguet
Switchblade,Dress,9180.000000000000,1985.000000000000,Calibre 5,Apple
Shown,Diving,3795.000000000000,1888.000000000000,El Primero 400B,Casio
Gauche,Dress,7620.000000000000,1988.000000000000,8500,Tag Heuer
Deferrable,Automatic,4975.000000000000,1881.000000000000,El Primero 400B,Jaeger-LeCoultre
Cough,Digital,5990.000000000000,2014.000000000000,Calibre 5,Tissot
Retrograde,Pilot,9955.000000000000,2008.000000000000,ETA-2824,Apple
Shopkeep,Digital,7270.000000000000,2003.000000000000,Valjoux 7750,Maurice Lacroix
Husbandry,Automatic,7680.000000000000,1888.000000000000,ETA-2824,Zenith
Binaural,Automatic,4295.000000000000,1909.000000000000,Quartz,Tissot
Ingratitude,Sport,5980.000000000000,1913.000000000000,JLC 965,Jaeger-LeCoultre
Geochemistry,Dress,9990.000000000000,1866.000000000000,Valjoux 7750,Tissot
Calamitous,Sport,1490.000000000000,1950.000000000000,JLC 965,Zenith
Preclude,Digital,4350.000000000000,1884.000000000000,Quartz,Zenith
Shore,Automatic,1340.000000000000,1854.000000000000,Calibre 5,Zenith
Glob,Smart,6450.000000000000,1879.000000000000,Calibre 5,Audemars Piguet
Tenement,Dress,9135.000000000000,1983.000000000000,Caliber 2121,Casio
Deceit,Digital,5215.000000000000,1921.000000000000,Caliber 5000,Audemars Piguet
Psychoacoustic,Smart,240.000000000000,1984.000000000000,Valjoux 7750,Audemars Piguet
Subsistent,Dress,8320.000000000000,1937.000000000000,JLC 965,Omega
Bookish,Diving,7220.000000000000,1959.000000000000,Caliber 5000,Tag Heuer
Lowdown,Smart,475.000000000000,1958.000000000000,JLC 965,Maurice Lacroix
Oblong,Diving,1320.000000000000,1928.000000000000,JLC 965,Jaeger-LeCoultre
Survive,Automatic,2450.000000000000,1890.000000000000,Valjoux 7750,Jaeger-LeCoultre
Rosenthal,Automatic,3275.000000000000,1981.000000000000,Valjoux 7750,Apple
Abhorred,Pilot,4770.000000000000,1854.000000000000,Calibre 5,Tag Heuer
Watkins,Dress,9260.000000000000,1855.000000000000,Caliber 5000,Jaeger-LeCoultre
Destroy,Automatic,1310.000000000000,1862.000000000000,Quartz,Audemars Piguet
Lawgiving,Automatic,6150.000000000000,1912.000000000000,8500,Omega
Isotope,Dress,2545.000000000000,1978.000000000000,ETA-2824,Tag Heuer
